# Version 1.00
#
freq[Hz],re:Trc1_Z<-S11[Ohm],im:Trc1_Z<-S11[Ohm],
5.675000000000000E+004,5.679971054391555E+001,3.684581736130750E+002,
5.770500000000000E+004,6.243087309110328E+001,3.865899565893129E+002,
5.866000000000000E+004,6.768387696903989E+001,4.028835720525328E+002,
5.961500000000000E+004,7.535535447952137E+001,4.238969989166894E+002,
6.057000000000000E+004,8.047986072559516E+001,4.456761067242990E+002,
6.152500000000000E+004,8.912353676018356E+001,4.711596835105880E+002,
6.248000000000000E+004,1.023985345878309E+002,4.975431786273529E+002,
6.343500000000000E+004,1.147344986979101E+002,5.257888782569114E+002,
6.439000000000000E+004,1.255792296036987E+002,5.644684631278122E+002,
6.534500000000000E+004,1.426437493030449E+002,5.917867584089603E+002,
6.630000000000000E+004,1.601104488483314E+002,6.390177461724034E+002,
6.725500000000000E+004,1.919147167995879E+002,6.791057159368409E+002,
6.821000000000000E+004,2.179310568527431E+002,7.204988217215996E+002,
6.916500000000000E+004,2.600455913696620E+002,7.738612750008037E+002,
7.012000000000000E+004,2.926699778636765E+002,8.299428413020847E+002,
7.107500000000000E+004,3.619771790501202E+002,9.112804632829548E+002,
7.203000000000000E+004,4.141657069597317E+002,9.664047777673791E+002,
7.298500000000000E+004,5.022275941773804E+002,1.019158001698908E+003,
7.394000000000000E+004,5.557922919407861E+002,1.133957857370255E+003,
7.489500000000000E+004,6.943565674080817E+002,1.263636098868712E+003,
7.585000000000000E+004,8.606885579806052E+002,1.314935657249695E+003,
7.680500000000000E+004,1.101100818042687E+003,1.416671749548043E+003,
7.776000000000000E+004,1.390885356187721E+003,1.500122295935291E+003,
7.871500000000000E+004,1.786878669391515E+003,1.447586022188722E+003,
7.967000000000000E+004,2.380345530075718E+003,1.309621091091296E+003,
8.062500000000000E+004,3.078355773889923E+003,9.522168560304267E+002,
8.158000000000000E+004,3.241632025801928E+003,2.577831743704930E+002,
8.253500000000000E+004,3.110808551269516E+003,-7.653003767310563E+002,
8.349000000000000E+004,2.683852305642184E+003,-1.397204267504297E+003,
8.444500000000000E+004,2.124897044058082E+003,-1.779261449004614E+003,
